                             PAYROLL REPORT
EMP#   EMPLYEE NAME      TERR   OFF#  ANN SALARY      SOCIAL     DEPT#  Job
00001  ADAMSON            01     01     4,0000       145503242     1     2
00002  BAKER              01     01     5,0000       019534250     2     1
00003  CARTWELL           01     01    10,0000       127831459     5     2
00004  DORSEY             01     01     4,5000       112805651     2     1
00005  HAMMOND            01     02     5,0000       085129750     4     2
00006  NOLTE              01     02     4,5000       125558325     4     2
00007  REDFORD            01     02     4,8000       122575983     3     2
00008  JOHNKE             02     01     5,5000       128532000     2     3
00009  WHITE              02     01     5,9000       018974437     1     2
00010  MARSHALL           02     01     5,3000       125802196     2     3
00011  EISEN              02     01     5,0000       135801277     4     1
00012  SAGER              02     02     6,8000       195530219     2     1
00013  STERN              02     02     6,8000       088567724     4     2
00014  SUMMERS            02     02     6,7500       033995527     1     1
00015  JONES              03     01     4,0000       011338772     9     3
00016  JOHNSON            03     01    10,0000       145881477     2     3
00017  NOLAN              03     01     4,4750       051873323     2     3
00018  CANTWELL           03     02     6,8250       181379550     1     2
00019  SMITH              03     02     7,5000       011205030     3     1
00020  HAMMEL             03     02     5,9100       124986743     2     2
00021  RAMIREZ            03     02     5,7043       031059090     6    35
00022  WASHINGTON         03     02     4,7308       210066701     3    14
00023  JAMES              03     03     4,5716       309324010     6    91
00024  LYONS              04     01     6,5202       906420755     1    56
00025  GREGORY            04     01     6,7190       535942032     5     7
00026  LINCOLN            04     01     4,3262       018073522     4    59
00027  NEWMAN             04     02     4,6531       042997804     2    45
00028  CARTWELL           04     02     4,7082       353425077     1    68
00029  DREYFUS            05     01     8,3108       193306341     6    32
00030  LOPEZ              05     02     9,2018       037418802     3    14
00031  FRANKLIN           05     02     4,4521       184110383     2    76
00032  FORTE              05     02     4,3972       359062089     2    33
00033  BYRON              05     02     5,5601       721080471     1    21
00034  KEATS              05     03     4,3894       328514425     4    16
00035  SOMTER             05     03     7,1613       205082155     6    35
00036  PITERIS            06     04     4,5000       052879544     1    65
00037  SIMOS              06     04     6,8900       069552548     5    56
00038  ASHLEY             06     04     7,5800       235781222     2    56
00039  BUTTERFIELD        06     04     4,3200       005258777     3    69
00040  CALIOPIS           06     03     9,6000       023988447     9     0
00041  DESEREY            06     02     8,5000       369552288     8     3
00042  FIELDSON           07     01     5,2300       112205699     7    31
00043  GALAGHER           07     08     8,9000       998802521     5    12
00044  HOUSTONS           07     09     5,2000       068544213     6    45
00045  JACKSON            07     02     8,7000       098825877     2    89
00046  KENDERSON          07     02     3,6000       036665147     2    45
00047  LIPSTERS           07     02     6,8500       002414447     1    12
00048  MANATARIS          07     04     4,0000       069987442     3     2
00049  NICHOLSON          08     05     5,5500       066552031     6    45
00050  OBERTON            08     06     7,5000       011489945     6    45
00051  PETERS             08     06     6,3000       023356478     8    23
00052  ROBERTS            08     06     6,5200       458112200     7    12
00053  SERGIS             08     09     8,7000       045886645     7     0
00054  TUCKERSON          08     01     6,5000       098214566     8     1
00055  VRICOLICSON        08     02     5,0000       065233345     9    12
00056  MACALUSO           08     02     7,5800       063945788     9     0
00057  KORNS              08     03     6,0000       566211140     9    78
00058  OKINS              09     04     7,5600       654788800     5    78
00059  FRIEDMAN           09     05     8,9500       987552201     1    45
00060  SANTOS             09     05     4,7100       036985225     1    78
00061  ANDOLINI           09     04     5,5300       023356664     2    12
00062  RUTH               09     08     5,0000       014788825     3    12
00063  APPLESEED          09     03     9,0800       011124587     4    12
00064  RIVERA             09     02     8,8623       099872233     5    78
00065  RIVERSON           09     01     5,2900       068741147     6    78
