                    PAYROLL LISTING         PAGE:  1   10/12/2023

   EMP NO  EMPLOYEE NAME       TERR/OFF    SALARY   SOC SEC NUM
        1  ADAMSON               1   1    $40,000   145-50-3242
        2  BAKER                 1   1    $50,000   019-53-4250
        3  CARTWELL              1   1   $100,000   127-83-1459
        4  DORSEY                1   1    $45,000   112-80-5651
        5  HAMMOND               1   2    $50,000   085-12-9750
        6  NOLTE                 1   2    $45,000   125-55-8325
        7  REDFORD               1   2    $48,000   122-57-5983
        8  JOHNKE                2   1    $55,000   128-53-2000
        9  WHITE                 2   1    $59,000   018-97-4437
       10  MARSHALL              2   1    $53,000   125-80-2196
       11  EISEN                 2   1    $50,000   135-80-1277
       12  SAGER                 2   2    $68,000   195-53-0219
       13  STERN                 2   2    $68,000   088-56-7724
       14  SUMMERS               2   2    $67,500   033-99-5527
       15  JONES                 3   1    $40,000   011-33-8772
       16  JOHNSON               3   1   $100,000   145-88-1477
       17  NOLAN                 3   1    $44,750   051-87-3323
       18  CANTWELL              3   2    $68,250   181-37-9550
       19  SMITH                 3   2    $75,000   011-20-5030
       20  HAMMEL                3   2    $59,100   124-98-6743
       21  RAMIREZ               3   2    $57,043   031-05-9090
       22  WASHINGTON            3   2    $47,308   210-06-6701
       23  JAMES                 3   3    $45,716   309-32-4010
       24  LYONS                 4   1    $65,202   906-42-0755
       25  GREGORY               4   1    $67,190   535-94-2032
       26  LINCOLN               4   1    $43,262   018-07-3522
       27  NEWMAN                4   2    $46,531   042-99-7804
       28  CARTWELL              4   2    $47,082   353-42-5077
       29  DREYFUS               5   1    $83,108   193-30-6341
       30  LOPEZ                 5   2    $92,018   037-41-8802
       31  FRANKLIN              5   2    $44,521   184-11-0383
       32  FORTE                 5   2    $43,972   359-06-2089
       33  BYRON                 5   2    $55,601   721-08-0471
       34  KEATS                 5   3    $43,894   328-51-4425
       35  SOMTER                5   3    $71,613   205-08-2155
       36  PITERIS               6   4    $45,000   052-87-9544
       37  SIMOS                 6   4    $68,900   069-55-2548
       38  ASHLEY                6   4    $75,800   235-78-1222
       39  BUTTERFIELD           6   4    $43,200   005-25-8777
       40  CALIOPIS              6   3    $96,000   023-98-8447
       41  DESEREY               6   2    $85,000   369-55-2288
       42  FIELDSON              7   1    $52,300   112-20-5699
       43  GALAGHER              7   8    $89,000   998-80-2521
       44  HOUSTONS              7   9    $52,000   068-54-4213
       45  JACKSON               7   2    $87,000   098-82-5877
       46  KENDERSON             7   2    $36,000   036-66-5147
       47  LIPSTERS              7   2    $68,500   002-41-4447
       48  MANATARIS             7   4    $40,000   069-98-7442
       49  NICHOLSON             8   5    $55,500   066-55-2031
       50  OBERTON               8   6    $75,000   011-48-9945
       51  PETERS                8   6    $63,000   023-35-6478
       52  ROBERTS               8   6    $65,200   458-11-2200
       53  SERGIS                8   9    $87,000   045-88-6645
       54  TUCKERSON             8   1    $65,000   098-21-4566
       55  VRICOLICSON           8   2    $50,000   065-23-3345
       56  MACALUSO              8   2    $75,800   063-94-5788
       57  KORNS                 8   3    $60,000   566-21-1140
       58  OKINS                 9   4    $75,600   654-78-8800
       59  FRIEDMAN              9   5    $89,500   987-55-2201
       60  SANTOS                9   5    $47,100   036-98-5225
       61  ANDOLINI              9   4    $55,300   023-35-6664
       62  RUTH                  9   8    $50,000   014-78-8825
       63  APPLESEED             9   3    $90,800   011-12-4587
       64  RIVERA                9   2    $88,623   099-87-2233
       65  RIVERSON              9   1    $52,900   068-74-1147

          TOTAL # EMPLOYEES LISTED:   65
